Бренд AX 1,Выручка_W14,Выручка_W15,Маржа_руб_W14,Маржа_руб_W15,Маржинальность_W14,Маржинальность_W15,ΔВыручка,ΔМаржа_руб,ΔМаржинальность_п.п._view,comment
MIXIT,29108357.12,23972143.549999986,5142942.5853436515,4178190.705507508,0.17668268133930504,0.1742935794119884,-5136213.570000015,-964751.8798361435,-0.239,
OK Beauty,57984393.749999985,79664556.07000002,9246050.805644054,12924546.326809287,0.1594575748348504,0.1622370972035881,21680162.320000038,3678495.521165233,0.278,
Omorovicza,28865317.75,36764981.61000001,5104508.379608557,6148892.990441515,0.17683880786687534,0.1672486350100343,7899663.860000007,1044384.6108329585,-0.959,
Payot,265832651.83999985,368126150.03000057,57563344.87482937,77231901.71597622,0.21653978349309685,0.209797379810378,102293498.19000071,19668556.841146857,-0.674,
Proraso,16174629.63,13934050.799999999,3566732.330450615,3032658.6891215295,0.22051400322856202,0.2176437227515727,-2240578.830000002,-534073.6413290855,-0.287,
Rexaline,79162873.02999999,86082707.41,10272151.497496586,11156706.308602644,0.1297597106361185,0.12960450065150483,6919834.38000001,884554.8111060578,-0.016,
SENSAI,161624333.42,125798038.82000001,23815834.3104233,18234682.53982704,0.14735302417944104,0.1449520414695686,-35826294.59999998,-5581151.770596258,-0.24,
Shiseido,1353685520.769999,1267702457.5700006,227180372.46972162,214510287.57277316,0.16782359638485134,0.16921185747636544,-85983063.19999838,-12670084.896948457,0.139,
Sisley,301387817.96000004,206654314.04999998,46849781.62221211,34514352.381429225,0.15544683238799645,0.16701491348048259,-94733503.91000006,-12335429.240782887,1.157,
Skyn Iceland,58450928.06999999,57110518.70000001,9620117.551206188,9050889.098771056,0.16458451334913404,0.15848024680558634,-1340409.3699999824,-569228.4524351321,-0.61,
St.Barth,66833732.01999999,101421030.13000007,12963240.564406008,19395058.197542105,0.19396254215650802,0.19123310197778298,34587298.11000008,6431817.633136097,-0.273,
Swiss Line,19473518.39,24324787.03,3580948.777423759,4727878.730086481,0.18388812466794086,0.19436465052111418,4851268.640000001,1146929.9526627222,1.048,
Thalgo,63404689.15,77089936.99000001,9093531.506115261,12748710.109657062,0.14342048873707414,0.16537450421461372,13685247.840000011,3655178.6035418008,2.195,
Valmont,195077531.83,270735485.90999997,29825590.485290047,44176644.84055549,0.15289095676728937,0.16317271706022696,75657954.07999995,14351054.355265442,1.028,
Zielinski&Rozen,188905732.51999986,191514856.41999987,38745915.34365044,39822508.36140186,0.20510714432421115,0.20793430392715584,2609123.900000006,1076593.0177514255,0.283,
